06/22/26 10:42:05 | 00000 | MESSAGE | Kernel               | Creating...
06/22/26 10:42:05 | 00000 | MESSAGE | Kernel               | Detected TimeZone: Europe/Berlin
06/22/26 10:42:05 | 00000 | MESSAGE | Kernel               | Platform: Ubuntu (Docker)
06/22/26 10:42:05 | 00000 | MESSAGE | Kernel               | Version: 9.0
06/22/26 10:42:05 | 00000 | MESSAGE | Kernel               | Revision: f2880badc0d6f6c75e5c235662467bac7b94b4f8
06/22/26 10:42:05 | 00000 | MESSAGE | Kernel               | Build: 06/15/26
06/22/26 10:42:05 | 00000 | MESSAGE | Kernel               | WorkingDir: /var/lib/symcon/
06/22/26 10:42:05 | 00000 | MESSAGE | Kernel               | SystemDir: /usr/share/symcon/
06/22/26 10:42:05 | 00000 | MESSAGE | Kernel               | LogDir: /var/log/symcon/
06/22/26 10:42:05 | 00000 | MESSAGE | Kernel               | cURL Version: libcurl/8.15.0 OpenSSL/3.5.2 zlib/1.3.1
06/22/26 10:42:05 | 00000 | MESSAGE | Kernel               | Git2 Version: 1.9.1
06/22/26 10:42:05 | 00000 | MESSAGE | Kernel               | SSH Version: 0.11.2
06/22/26 10:42:05 | 00000 | MESSAGE | Kernel               | FFmpeg Version: Codec/61.19.101 Device/61.3.100 Format/61.7.100 Util/59.39.100
06/22/26 10:42:05 | 00000 | MESSAGE | Kernel               | ZLIB Version: 1.3.1
06/22/26 10:42:05 | 00000 | MESSAGE | Kernel               | OpenSSL Version: OpenSSL 3.5.2 5 Aug 2025
06/22/26 10:42:05 | 00000 | MESSAGE | Kernel               | OpenSSL CertDir: /usr/share/symcon/
06/22/26 10:42:05 | 00000 | MESSAGE | Kernel               | OpenSSL CertFile: /usr/share/symcon/cacert.pem
06/22/26 10:42:05 | 00000 | MESSAGE | Kernel               | XML2 Version: 21405
06/22/26 10:42:05 | 00000 | MESSAGE | Kernel               | XML2 Threads: Yes
06/22/26 10:42:05 | 00000 | MESSAGE | Kernel               | PHP Version: 8.5.5
06/22/26 10:42:05 | 00000 | MESSAGE | Kernel               | Initializing...
06/22/26 10:42:05 | 00000 | MESSAGE | LocalePool           | Creating...
06/22/26 10:42:05 | 00000 | MESSAGE | LicensePool          | Creating...
06/22/26 10:42:05 | 00000 | MESSAGE | PermissionPool       | Creating...
06/22/26 10:42:05 | 00000 | MESSAGE | SyncReplicationService | Creating...
06/22/26 10:42:05 | 00000 | MESSAGE | Settings             | Creating...
06/22/26 10:42:05 | 00000 | MESSAGE | Settings             | Loading settings...
06/22/26 10:42:05 | 00000 | MESSAGE | LocalePool           | Detected locale: de_DE
22.06.2026 10:42:05 | 00000 | MESSAGE | ObjectManager        | Erstelle...
22.06.2026 10:42:05 | 00000 | MESSAGE | CategoryManager      | Erstelle...
22.06.2026 10:42:05 | 00000 | MESSAGE | VariableManager      | Erstelle...
22.06.2026 10:42:05 | 00000 | MESSAGE | InstanceManager      | Erstelle...
22.06.2026 10:42:05 | 00000 | MESSAGE | ScriptManager        | Erstelle...
22.06.2026 10:42:05 | 00000 | MESSAGE | EventManager         | Erstelle...
22.06.2026 10:42:05 | 00000 | MESSAGE | MediaManager         | Erstelle...
22.06.2026 10:42:05 | 00000 | MESSAGE | LinkManager          | Erstelle...
22.06.2026 10:42:05 | 00000 | MESSAGE | ModuleLoader         | Erstelle...
22.06.2026 10:42:05 | 00000 | MESSAGE | FlowHandler          | Erstelle...
22.06.2026 10:42:05 | 00000 | MESSAGE | MutexHandler         | Erstelle...
22.06.2026 10:42:05 | 00000 | MESSAGE | ProfilePool          | Erstelle...
22.06.2026 10:42:05 | 00000 | MESSAGE | TemplatePool         | Erstelle...
22.06.2026 10:42:05 | 00000 | MESSAGE | ScriptEngine         | Erstelle...
22.06.2026 10:42:05 | 00000 | MESSAGE | ScriptEngine         | Starte 50 Skript-Threads...
22.06.2026 10:42:05 | 00000 | MESSAGE | TimerPool            | Erstelle...
22.06.2026 10:42:05 | 00000 | MESSAGE | DataServer           | Erstelle...
22.06.2026 10:42:05 | 00000 | MESSAGE | DataServer           | Starte Server...
22.06.2026 10:42:05 | 00000 | MESSAGE | VideoServer          | Erstelle...
22.06.2026 10:42:05 | 00000 | MESSAGE | DiscoveryServer      | Erstelle...
22.06.2026 10:42:05 | 00000 | DEBUG   | DiscoveryServer      | Betrete Multicastgruppe für Schnittstelle 10.1.60.150
22.06.2026 10:42:05 | 00000 | DEBUG   | DiscoveryServer      | Betrete Multicastgruppe für Schnittstelle 10.88.0.1
22.06.2026 10:42:05 | 00000 | DEBUG   | DiscoveryServer      | Betrete Multicastgruppe für Schnittstelle 172.19.0.1
